โรค,พารามิเตอร์สภาพอากาศหลัก,ช่วงที่เหมาะสม,ระดับความเสี่ยง,เงื่อนไขเฉพาะ
CBB,ความชื้นสัมพัทธ์,>=80%,เสี่ยงสูง,ความชื้นสูงเอื้อต่อการแพร่ระบาด
CBB,อุณหภูมิ,25->32°C,เสี่ยงปานกลาง,อุณหภูมิเหมาะสมต่อการเจริญของเชื้อ
CBB,ปริมาณน้ำฝน,>=50มม.,เสี่ยงสูง,ฝนตกหนักช่วยในการแพร่กระจายเชื้อ
CBSD,อุณหภูมิ,20->28°C,เสี่ยงสูง,อุณหภูมิเหมาะสมต่อการแพร่ระบาด
CBSD,ความชื้นสัมพัทธ์,>=75%,เสี่ยงปานกลาง,ความชื้นสูงเอื้อต่อการเกิดโรค
CBSD,สภาพอากาศ,เริ่มต้นฤดูฝน,เสี่ยงสูง,ช่วงเริ่มฤดูฝนมีการระบาดสูง
CGM,อุณหภูมิ,>=30°C,เสี่ยงสูง,อุณหภูมิสูงเหมาะต่อการเจริญของไร
CGM,ความชื้นสัมพัทธ์,<=60%,เสี่ยงปานกลาง,ความชื้นต่ำเหมาะต่อการระบาด
CGM,สภาพอากาศ,แห้งแล้ง,เสี่ยงสูง,สภาพอากาศแห้งแล้งเอื้อต่อการระบาด
CMD,อุณหภูมิ,25->35°C,เสี่ยงสูง,อุณหภูมิเหมาะสมต่อการแพร่ระบาด
CMD,ความชื้นสัมพัทธ์,>=70%,เสี่ยงปานกลาง,ความชื้นสูงเอื้อต่อการเกิดโรค
CMD,ปริมาณน้ำฝน,>=40มม.,เสี่ยงสูง,ฝนตกช่วยในการแพร่กระจายโรค
HEALTHY,อุณหภูมิ,เหมาะสม,สุขภาพดี,อุณหภูมิอยู่ในช่วงที่เหมาะสม
HEALTHY,ความชื้นสัมพัทธ์,เหมาะสม,สุขภาพดี,ความชื้นอยู่ในช่วงที่เหมาะสม
HEALTHY,ปริมาณน้ำฝน,เหมาะสม,สุขภาพดี,ปริมาณน้ำฝนเพียงพอต่อการเจริญเติบโต